# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14785
#@/user_id	rime_fcitx_xiao_he
a 	啊	c=86 d=3.48375 t=14785
bi ji 	笔记	c=4 d=0.00541098 t=14785
bi ji ben 	笔记本	c=1 d=1.42624e-18 t=14785
bi jiao 	比较	c=7 d=0.559898 t=14785
bi jiao da 	比较大	c=1 d=1 t=14069
bi jiao duo 	比较多	c=2 d=3.06005e-11 t=14785
bi jiao fang bian 	比较方便	c=1 d=1 t=14488
bi jiao gao 	比较高	c=1 d=2.63382e-11 t=14785
bi jiao hao de 	比较好的	c=1 d=1 t=10100
bi jiao hao shi 	比较耗时	c=1 d=1 t=14218
bi jiao man 	比较慢	c=1 d=1 t=9676
bi jiao xin 	比较新	c=1 d=1.2292e-16 t=14785
bi jiao zhong 	比较重	c=0 d=0.1 t=13392
bi jiao zhong yao 	比较重要	c=1 d=1 t=13393
bi li 	比例	c=4 d=0.00785349 t=14785
bi lv 	比率	c=1 d=1 t=13554
bi mian 	避免	c=1 d=1 t=10311
bi mian le 	避免了	c=1 d=1 t=13047
bi ru 	比如	c=2 d=4.66936e-12 t=14785
bi te si la 	比特斯拉	c=1 d=1.0872e-13 t=14785
bi wo 	比我	c=0 d=9.75642e-06 t=14785
bi wo gao 	比我高	c=1 d=9.80532e-05 t=14785
bi xu 	必须	c=6 d=0.0295994 t=14785
bi xu deng dao 	必须等到	c=1 d=7.34571e-19 t=14785
bi ye zheng 	毕业证	c=2 d=8.54324e-14 t=14785
bi zhi 	壁纸	c=1 d=1 t=12492
bian 	变	c=4 d=0.000311976 t=14785
bian cheng 	编程	c=2 d=1.28446e-05 t=14785
bian cheng le 	变成了	c=1 d=1 t=13522
bian cheng ti 	编程题	c=1 d=1.74372e-12 t=14785
bian dao 	变道	c=2 d=1.05003e-13 t=14785
bian dao qian 	变道前	c=1 d=4.69356e-14 t=14785
bian dong 	变动	c=1 d=1 t=12795
bian duo le 	变多了	c=0 d=1.34148e-16 t=14785
bian hao 	编号	c=6 d=0.010567 t=14785
bian hua 	变化	c=1 d=0.0222592 t=14785
bian ji 	编辑	c=1 d=8.81118e-12 t=14785
bian ji qi 	编辑器	c=1 d=1 t=13112
bian le 	变了	c=2 d=5.86168e-11 t=14785
bian li 	遍历	c=0 d=0.1 t=11254
bian li shi yi tu 	遍历示意图	c=1 d=1 t=11255
bian liang 	变量	c=3 d=9.37861e-11 t=14785
bian ling dao le 	变领导了	c=1 d=0.0031354 t=14785
bian ma 	编码	c=1 d=1 t=9544
bian qian 	便签	c=1 d=2.92492e-09 t=14785
bian xiao 	变小	c=1 d=1 t=13215
bian xie 	编写	c=2 d=1.12827e-08 t=14785
bian yi qi 	编译器	c=2 d=1.98511 t=12282
biao 	标	c=1 d=3.32407e-14 t=14785
biao 	表	c=16 d=0.882497 t=14785
biao 	飚	c=0 d=0.1 t=9697
biao da shi 	表达式	c=2 d=0.000997758 t=14785
biao dan 	表单	c=1 d=2.45701e-17 t=14785
biao dian 	标点	c=3 d=1.87667e-10 t=14785
biao ge 	表格	c=5 d=0.995012 t=14785
biao ji 	标记	c=16 d=1.5374 t=13398
biao ji jie guo 	标记结果	c=1 d=1 t=12817
biao ji qing chu 	标记清除	c=1 d=1 t=12690
biao ji yi xia 	标记一下	c=1 d=1 t=12758
biao ji zheng li 	标记整理	c=4 d=2.03561 t=12960
biao jie gou 	表结构	c=2 d=0.694197 t=14785
biao jie kou she ji 	表接口设计	c=1 d=0.588605 t=14785
biao ming 	表名	c=2 d=3.95844e-10 t=14785
biao ming 	表明	c=1 d=1.30206e-17 t=14785
biao shi 	标示	c=2 d=4.45311e-17 t=14785
biao shi 	标识	c=3 d=1.31425e-09 t=14785
biao shi 	表示	c=1 d=1 t=11933
biao yi xia 	飚一下	c=1 d=1 t=9698
biao zhong 	表中	c=1 d=7.38128e-17 t=14785
biao zhun 	标准	c=1 d=0.778816 t=14785
bie 	别	c=0 d=1.88831e-09 t=14785
bie de 	别的	c=3 d=0.000197239 t=14785
bie gei 	别给	c=0 d=1.74342e-11 t=14785
bie gei ta xi zao 	别给他洗澡	c=1 d=1.75216e-10 t=14785
bie li ta 	别理他	c=1 d=1.89777e-08 t=14785
bie ren 	别人	c=2 d=0.04573 t=14785
bie shuo 	别说	c=0 d=1.14926e-20 t=14785
bie shuo zhe shi 	别说这是	c=1 d=1.15502e-19 t=14785
bie zhen 	别针	c=1 d=5.0243e-21 t=14785
bin 	斌	c=2 d=0.941765 t=14785
bing 	并	c=6 d=0.50409 t=14785
bing bu shi 	并不是	c=1 d=6.11357e-06 t=14785
bing bu xu yao 	并不需要	c=1 d=1 t=10258
bing bu zai 	并不在	c=1 d=1 t=11505
bing deng 	冰灯	c=5 d=3.35562 t=14715
bing fa 	并发	c=9 d=6.36092 t=12855
bing fa biao ji 	并发标记	c=1 d=1 t=12767
bing sheng 	并生	c=0 d=1.14906e-18 t=14785
bing sheng cheng 	并生成	c=1 d=1.15482e-17 t=14785
bing tuo 	冰坨	c=1 d=1 t=14645
bing xing 	并行	c=6 d=0.0218184 t=14785
bing xing la ji hui shou qi 	并行垃圾回收器	c=1 d=1 t=12426
bing yun xing 	并运行	c=1 d=1.20798e-17 t=14785
bing zhan 	冰盏	c=1 d=1 t=14663
bing zhao 	冰罩	c=1 d=1 t=14656
bo fang 	播放	c=2 d=1.34299e-20 t=14785
bo hui lai 	拨回来	c=1 d=1 t=10916
bo ke 	博客	c=4 d=1.34997e-08 t=14785
bo lang hao 	波浪号	c=1 d=1 t=12481
bo li 	玻璃	c=2 d=5.90002e-16 t=14785
bu 	不	c=8 d=0.144348 t=14785
bu 	步	c=4 d=3.88812e-05 t=14785
bu a 	不阿	c=0 d=0.1 t=14779
bu ba 	不把	c=0 d=0.000140882 t=14785
bu ba qian 	不把钱	c=1 d=0.00141589 t=14785
bu bao cun 	不保存	c=1 d=3.63464e-06 t=14785
bu bao cuo 	不报错	c=1 d=1 t=13915
bu bao kuo 	不包括	c=1 d=3.79535e-15 t=14785
bu bi hui 	不避讳	c=1 d=4.6437e-06 t=14785
bu bian 	不变	c=1 d=1.59695e-07 t=14785
bu cang 	补仓	c=1 d=3.24763e-05 t=14785
bu cha 	不查	c=0 d=0.1 t=9896
bu cha zhao 	不查找	c=1 d=1 t=9897
bu chao guo 	不超过	c=1 d=1 t=13490
bu chi fan 	不吃饭	c=0 d=0.1 t=10627
bu chu 	不出	c=0 d=1.36905e-20 t=14785
bu chu lai 	不出来	c=0 d=0.000194986 t=14785
bu chu yi wai 	不出意外	c=1 d=1.03883e-07 t=14785
bu cun zai 	不存在	c=3 d=0.318528 t=14785
bu cuo 	不错	c=9 d=1.01512 t=14785
bu cuo a 	不错啊	c=1 d=0.000167421 t=14785
bu da 	不大	c=1 d=0.00110536 t=14785
bu da yi jia 	不打一架	c=1 d=1 t=11073
bu dan wu 	不耽误	c=1 d=1.08646e-05 t=14785
bu dao 	不到	c=2 d=0.001704 t=14785
bu dao yi mi 	不到一米	c=1 d=1.70948e-14 t=14785
bu deng 	不等	c=2 d=0.000133021 t=14785
bu ding 	补丁	c=2 d=4.62511e-10 t=14785
bu dou 	不都	c=0 d=1.43109e-12 t=14785
bu dou shi 	不都是	c=1 d=1.58871e-05 t=14785
bu dou yi yang 	不都一样	c=1 d=1.43826e-11 t=14785
bu dui 	不对	c=3 d=1 t=14542
bu dui ba 	不对吧	c=1 d=1.68696e-05 t=14785
bu dui bu dui 	不对不对	c=1 d=1 t=14441
bu dui ying 	不对应	c=1 d=1 t=10813
bu duo 	不多	c=0 d=0.1 t=11895
bu fan qiang 	不翻墙	c=1 d=2.64883e-19 t=14785
bu fan ye 	不翻页	c=2 d=1.83527 t=9896
bu fen 	不分	c=0 d=0.1 t=11719
bu fen 	部分	c=6 d=0.00591532 t=14785
bu fen jie 	部分解	c=0 d=0.1 t=9884
bu fen jie tu 	部分解图	c=2 d=1.07244 t=10410
bu fen zu 	不分组	c=1 d=1 t=11720
bu feng fu 	不丰富	c=1 d=1 t=9713
bu fu he 	不符合	c=1 d=0.00559994 t=14785
bu gan 	不干	c=1 d=1.49696e-11 t=14785
bu gei 	不给	c=0 d=7.77848e-17 t=14785
bu guai 	不乖	c=0 d=2.2049e-09 t=14785
bu guan 	不管	c=5 d=0.0338793 t=14785
bu guan ying jian 	不管硬件	c=1 d=1 t=12505
bu gui 	不贵	c=0 d=8.61294e-10 t=14785
bu guo 	不过	c=5 d=0.287964 t=14785
bu hai shi 	不还是	c=1 d=1.37498e-11 t=14785
bu han you 	不含有	c=1 d=1 t=10750
bu hao 	不好	c=1 d=0.0713613 t=14785
bu hao chi 	不好吃	c=2 d=8.44527e-13 t=14785
bu hao yong 	不好用	c=1 d=1 t=9709
bu he shi 	不合适	c=1 d=1.88343e-07 t=14785
bu hou hui 	不后悔	c=1 d=1 t=13875
bu hui 	不会	c=9 d=0.0925506 t=14785
bu hui ba 	不会吧	c=2 d=7.28772e-14 t=14785
bu hui bu hui 	不会不会	c=1 d=1 t=10624
bu hui cun zai 	不会存在	c=1 d=1 t=11499
bu hui da zi 	不会打字	c=1 d=1 t=9446
bu hui deng dai 	不会等待	c=2 d=1.86936 t=13945
bu hui die 	不会跌	c=1 d=2.07254e-15 t=14785
bu hui gui 	不回归	c=1 d=1 t=11097
bu hui qu 	不会去	c=2 d=1.39063 t=14011
bu hui zai 	不会再	c=1 d=1.06789e-08 t=14785
bu hui zi dong 	不会自动	c=1 d=1 t=11135
bu huo 	捕获	c=4 d=0.00188624 t=14785
bu huo qu 	不获取	c=1 d=6.58972e-06 t=14785
bu ji suan 	不计算	c=1 d=1 t=11644
bu jia 	不加	c=2 d=1.54176e-05 t=14785
bu jian rong 	不兼容	c=1 d=1.07138e-17 t=14785
bu jing 	不经	c=1 d=1.22815e-06 t=14785
bu jiu 	不就	c=0 d=3.18386e-08 t=14785
bu jiu hao le 	不就好了	c=1 d=3.19982e-07 t=14785
bu kan 	不看	c=1 d=2.83751e-05 t=14785
bu kao lv 	不考虑	c=0 d=1.15145e-13 t=14785
bu ke 	不可	c=0 d=5.14448e-06 t=14785
bu ke bian 	不可变	c=1 d=1.62583e-12 t=14785
bu ke da 	不可达	c=1 d=1 t=12811
bu ke jian 	不可见	c=1 d=8.15618e-15 t=14785
bu ke yi 	不可以	c=2 d=0.00234611 t=14785
bu le yi 	不乐意	c=0 d=3.39769e-08 t=14785
bu leng 	不冷	c=0 d=0.1 t=13386
bu liao 	不了	c=4 d=0.000814783 t=14785
bu liao de 	不了的	c=1 d=1 t=11072
bu ling min 	不灵敏	c=1 d=1 t=13598
bu luo 	部落	c=1 d=2.89581e-09 t=14785
bu mai 	不买	c=3 d=6.11362e-13 t=14785
bu men 	部门	c=4 d=0.0329559 t=14785
bu men lu jing 	部门路径	c=1 d=0.331211 t=14785
bu mie 	不灭	c=1 d=1 t=14661
bu min gan 	不敏感	c=1 d=3.99823e-10 t=14785
bu mo hu 	不模糊	c=1 d=1 t=13620
bu neng 	不能	c=11 d=0.098543 t=14785
bu neng dao 	不能到	c=0 d=6.54883e-22 t=14785
bu neng lian xu 	不能连续	c=1 d=1 t=9904
bu neng tai xiao 	不能太小	c=1 d=1 t=12063
bu neng tui 	不能退	c=1 d=2.26579e-05 t=14785
bu neng yong 	不能用	c=0 d=0.1 t=9506
bu neng yong yu 	不能用与	c=1 d=1 t=9507
bu pi pei 	不匹配	c=8 d=0.535913 t=14785
bu pian yi 	不便宜	c=1 d=0.00308872 t=14785
bu qi 	不起	c=0 d=6.93112e-13 t=14785
bu qi 	补齐	c=1 d=1 t=12449
bu qing 	不轻	c=1 d=0.882497 t=14785
bu qing chu 	不清楚	c=0 d=1.72996e-08 t=14785
bu qu fen 	不区分	c=1 d=5.04949e-21 t=14785
bu qu le 	不去了	c=1 d=6.48367e-21 t=14785
bu ran 	不然	c=4 d=2.94586e-13 t=14785
bu rang 	不让	c=2 d=0.0230521 t=14785
bu ren shi 	不认识	c=1 d=1 t=13818
bu ru 	不如	c=0 d=1.69951e-05 t=14785
bu shang 	不上	c=0 d=2.57632e-17 t=14785
bu shao 	不少	c=1 d=1.09794e-11 t=14785
bu shi 	不是	c=18 d=0.212652 t=14785
bu shi he 	不适合	c=1 d=1 t=14701
bu shi hui zhan 	不是会展	c=1 d=2.01581e-12 t=14785
bu shi shen me 	不是什么	c=1 d=1 t=11728
bu shi shuo 	不是说	c=1 d=9.44684e-08 t=14785
bu shi wo gai 	不是我改	c=1 d=1.10841e-05 t=14785
bu shi xue 	不是学	c=0 d=2.37743e-13 t=14785
bu shi xue qu 	不是学去	c=1 d=2.38935e-12 t=14785
bu shi ye 	不是也	c=0 d=7.41323e-10 t=14785
bu shi you 	不是有	c=0 d=1.9119e-08 t=14785
bu shi zhen de 	不是真的	c=0 d=2.52616e-21 t=14785
bu shu 	不熟	c=1 d=8.19009e-05 t=14785
bu shu 	部署	c=14 d=0.00103747 t=14785
bu shu le 	部署了	c=0 d=1.69276e-17 t=14785
bu shu shang 	部署上	c=1 d=1.98202e-19 t=14785
bu shuo 	不说	c=1 d=1.5905e-14 t=14785
bu suan 	不酸	c=1 d=1 t=14421
bu tai 	不太	c=1 d=0.062244 t=14785
bu tai hao shuo 	不太好说	c=1 d=0.280832 t=14785
bu tai he li 	不太合理	c=1 d=0.344728 t=14785
bu tai qing chu 	不太清楚	c=1 d=7.93562e-16 t=14785
bu tai shu xi 	不太熟悉	c=1 d=6.85026e-21 t=14785
bu ting de 	不停的	c=1 d=1 t=9468
bu tong 	不同	c=2 d=1.00232 t=11426
bu tong 	不通	c=8 d=5.66605e-06 t=14785
bu tong d 	不同的	c=1 d=1 t=10206
bu tong shi 	不同时	c=0 d=5.69328e-22 t=14785
bu tong shi geng xin 	不同时更新	c=1 d=5.72182e-21 t=14785
bu tui jian 	不推荐	c=1 d=1 t=12572
bu wai 	不外	c=0 d=1.35032e-05 t=14785
bu wei ling 	不为零	c=1 d=1 t=11652
bu wen ding 	不稳定	c=0 d=0.1 t=10375
bu xi wang 	不希望	c=1 d=5.30838e-21 t=14785
bu xian shi 	不显示	c=3 d=1.8468e-11 t=14785
bu xiang 	不像	c=1 d=6.59421e-14 t=14785
bu xiang yong 	不想用	c=0 d=0.1 t=13880
bu xiao de 	不晓得	c=1 d=3.57189e-07 t=14785
bu xin 	不信	c=1 d=3.11541e-16 t=14785
bu xing 	不行	c=7 d=0.00373502 t=14785
bu xiu 	不休	c=0 d=1.58953e-12 t=14785
bu xiu gai 	不休该	c=1 d=1.59749e-11 t=14785
bu xu yao 	不需要	c=6 d=8.25471e-06 t=14785
bu xu yao cha 	不需要查	c=1 d=2.27831e-11 t=14785
bu xue 	不学	c=1 d=1 t=11914
bu yao 	不要	c=5 d=0.19112 t=14785
bu yao bao han 	不要包含	c=1 d=1.29914e-20 t=14785
bu yao cun zai 	不要存在	c=1 d=1.11222e-16 t=14785
bu yao dan xin 	不要担心	c=1 d=1 t=10384
bu yao zou 	不要走	c=0 d=1.64984e-09 t=14785
bu yi ding 	不一定	c=1 d=0.100058 t=14384
bu yi ding qu 	不一定去	c=1 d=1 t=14385
bu yi yang 	不一样	c=2 d=3.25141e-07 t=14785
bu yi yang le 	不一样了	c=1 d=1.70832e-06 t=14785
bu yi zhi 	不一致	c=1 d=0.177284 t=14785
bu ying gai 	不应该	c=0 d=1.76244e-21 t=14785
bu ying gai shi 	不应该是	c=1 d=1.77128e-20 t=14785
bu ying xiang 	不影响	c=3 d=1.38116e-05 t=14785
bu yong 	不用	c=6 d=0.0179964 t=14785
bu yong ba 	不用吧	c=1 d=8.53014e-13 t=14785
bu yong chu li 	不用处理	c=1 d=1 t=14443
bu yong da 	不用打	c=1 d=1 t=11844
bu yong deng 	不用等	c=1 d=3.66668e-21 t=14785
bu yong guan 	不用管	c=1 d=7.59831e-06 t=14785
bu yong guan le 	不用管了	c=1 d=7.63639e-05 t=14785
bu yong le 	不用了	c=1 d=0.000411789 t=14785
bu yong xian shi qi 	不用显示器	c=1 d=1.3138e-05 t=14785
bu yu 	捕鱼	c=1 d=1 t=14619
bu yuan yi 	不愿意	c=2 d=3.44446e-13 t=14785
bu zai 	不再	c=5 d=0.189191 t=14785
bu zai 	不在	c=4 d=0.00357068 t=14785
bu zai jia 	不在家	c=3 d=0.120031 t=14785
bu zai jia chi 	不在家吃	c=3 d=0.000804729 t=14785
bu zai jia chi fan 	不在家吃饭	c=3 d=0.99005 t=14785
bu zai qu fen 	不再区分	c=1 d=1 t=13026
bu zai yi ge dang ci 	不在一个档次	c=1 d=1 t=11876
bu zang 	不脏	c=0 d=0.1 t=14783
bu zang chai ao d 	不脏拆奥的	c=1 d=1 t=14784
bu zhao ji 	不着急	c=1 d=1.18285e-05 t=14785
bu zheng que 	不正确	c=2 d=0.00103848 t=14785
bu zhi 	不止	c=1 d=2.41467e-16 t=14785
bu zhi 	布置	c=1 d=3.69334e-18 t=14785
bu zhi chi 	不支持	c=1 d=3.53996e-19 t=14785
bu zhi dao 	不知道	c=19 d=9.01764e-05 t=14785
bu zhi wo zi ji 	不止我自己	c=1 d=4.75462e-19 t=14785
bu zhu 	不住	c=1 d=2.27282e-12 t=14785
bu zhuan hua 	不转化	c=1 d=0.985112 t=14785
bu zhui 	不追	c=0 d=0.1 t=10455
bu zhui ju 	不追剧	c=1 d=1 t=10456
bu zu 	不足	c=0 d=0.1 t=10480
bu zuo 	不做	c=1 d=6.4015e-18 t=14785
ca 	擦	c=1 d=6.64102e-09 t=14785
cai 	才	c=6 d=0.932394 t=14785
cai 	猜	c=1 d=2.30278e-19 t=14785
cai 	菜	c=2 d=3.34394e-18 t=14785
cai 	蔡	c=1 d=1.82491e-18 t=14785
cai 	财	c=0 d=1.35032e-05 t=14785
cai 	踩	c=2 d=7.14241e-10 t=14785
cai bu wai lou 	财不外漏	c=1 d=0.000135709 t=14785
cai dan 	菜单	c=0 d=0.0826959 t=14785
cai dan guan li 	菜单管理	c=1 d=0.831104 t=14785
cai hong 	彩虹	c=1 d=4.38981e-21 t=14785
cai hui 	才会	c=4 d=1.03354 t=14085
cai jiao fang 	才交房	c=1 d=7.56942e-19 t=14785
cai ke yi 	才可以	c=2 d=6.23112e-19 t=14785
cai neng 	才能	c=3 d=2.65257e-07 t=14785
cai neng jiao 	才能交	c=2 d=1.52178e-18 t=14785
cai niao 	菜鸟	c=1 d=1 t=13170
cai wu 	财务	c=2 d=0.00540733 t=14785
cai xia 	踩下	c=1 d=5.70413e-14 t=14785
cai yong 	采用	c=3 d=2.54782 t=12962
can 	参	c=0 d=0.1 t=13683
can 	餐	c=1 d=1 t=10223
can kao 	参考	c=6 d=0.0754912 t=14785
can kao can kao 	参考参考	c=1 d=1.16885e-12 t=14785
can shu 	参数	c=21 d=0.27238 t=14785
can shu yong yu 	参数用于	c=1 d=1 t=13463
can ting 	餐厅	c=0 d=0.000778933 t=14785
can ting ba 	餐厅吧	c=1 d=0.00782838 t=14785
cang ku 	仓库	c=7 d=0.0208263 t=14785
cao liao 	草料	c=1 d=1 t=13122
cao zuo 	操作	c=28 d=1.33555 t=14785
cao zuo xi tong 	操作系统	c=2 d=1.5599 t=12615
cao zuo zhi nan 	操作指南	c=3 d=1.60443e-17 t=14785
ce 	测	c=0 d=2.04488e-05 t=14785
ce guo 	侧过	c=0 d=9.78001e-05 t=14785
ce lv 	策虑	c=1 d=1 t=14144
ce lve 	策略	c=5 d=1.5839 t=14173
ce mian 	侧面	c=1 d=1 t=10769
ce ping 	测评	c=4 d=0.70454 t=14785
ce ping mo ban 	测评模版	c=1 d=0.767206 t=14785
ce shi 	测试	c=27 d=1.95064 t=14785
ce shi fa xian 	测试发现	c=1 d=1 t=11530
ce shi huan jing 	测试环境	c=11 d=0.275061 t=14785
ce shi huan jing le 	测试环境了	c=1 d=1.51123e-05 t=14785
ce shi le ma 	测试了吗	c=1 d=0.000203468 t=14785
